lat,lon,name,Address,Phone,Website,Email,other,ttt
52.84334947,-6.930269792,Carlow County Council,County Buildings Athy Road Carlow.,0599170300,https://www.carlow.ie/,,coco,
52.84334947,-6.9302698,Tullow Civic Offices,"Civic Offices Link Road, Tullow.",0599172415,https://www.carlow.ie/,,coco,
52.84334947,-6.9302699,Muinebheag Area Office,"McGrath Hall Station Road, Muinebheag",0599136296,https://www.carlow.ie/,,coco,
53.99340371,-7.362202177,Cavan County Council,Second Floor Johnston Centre Farnham Street Cavan H12 C9K1,049-4378300,https://www.cavancoco.ie/your-council/customer-care/contact-us/,info@cavancoco.ie,coco,
52.86779875,-8.976517544,Clare County Council,New Rd Lifford Ennis Co. Clare V95 DXP2,0656821616,https://www.clarecoco.ie/your-council/contact-the-council/default.html,customerservices@clarecoco.ie,coco,
51.92589431,-8.512757503,Cork County Council,County Hall Carrigrohane Rd Cork,0214276891,https://www.corkcoco.ie/en/cork-county-council-contact-details,,coco,
55.16719875,-7.457168731,Donegal County Council,St Orans Rd Ardaravan Buncrana Co. Donegal,0749153900,https://www.donegalcoco.ie/services/contactus/,,coco,
53.29446109,-6.134334348,Dun Laoghaire / Rathdown,2 Marine Rd Dunleary Dublin A96 K6C9,012054700,https://www.dlrcoco.ie/contact-us,info@dlrcoco.ie,coco,
53.39553426,-6.392819348,Fingal County Council,Grove Rd Blanchardstown Dublin 15,(01) 890 5000,https://www.fingal.ie/contact-us,,coco,
53.27662547,-9.048728647,Galway County Council,Áras an Chontae Prospect Hill Galway H91 H6KX,(0)91 509000,http://www.galway.ie/en/contactus/,customerservices@galwaycoco.ie,coco,
52.26628546,-9.678999603,Kerry County Council,Kerry County Council County Buildings Rathass Tralee Co. Kerry V92 H7VT,066 7183500,https://www.kerrycoco.ie/contact-us/,,coco,
53.21464964,-6.671698561,Kildare County Council,Devoy Park Naas Co. Kildare W91 X77F,045980200,http://kildarecountycouncil.ie/,,coco,
52.65293161,-7.248072678,Kilkenny County Council,Council Hall John Street Kilkenny,056 779 4000,https://www.kilkennycoco.ie/eng/contact_us/,,coco,
53.0320146,-7.301102232,Laois County Council,JFL Ave. Portlaoise Co Laois R32 EHP9,(057) 86 64000,https://laois.ie/contact-us/,,coco,
53.9479357,-8.098554655,Leitrim County Council,Aras an Chontae St George's Terrace Townparks Carrick-On-Shannon Co. Leitrim,071 9620005,http://www.leitrimcoco.ie/eng/contact_us/contact_us/,customerservices@leitrimcoco.ie,coco,
52.66615426,-8.624877058,Limerick City and County Council,City Hall Merchants Quay Englishtown Limerick V94 EH90,061556000,https://www.limerick.ie/council/how-can-we-help/contact-us,,coco,
52.63907467,-8.64555819,Limerick City and County Council,Limerick City and County Council Dooradoyle Road Dooradoyle Limerick V94 WV78,+353 61 556000,https://www.limerick.ie/council/how-can-we-help/contact-us,,coco,
53.73009647,-7.799412803,Longford County Council,Longford County Council Great Water Street Longford N39 NH56,0433343300,https://www.longfordcoco.ie/your-council/contact-us/,,coco,
54.00371667,-6.386381403,Louth County Council,Millennium Centre Dundalk Louth A91 KFW6,,https://www.louthcoco.ie/en/contact/louth-county-council/,,coco,
