name,Address,lat,lon,Phone,Website,Other,,,,,,,
Anglesea street,,51.895775,-8.465015,(021) 4522000,https://www.garda.ie/garda/en/contact-us/station-directory/anglesea-street.html,24/7,,,,,,,
Ballincollig,Main Street,51.888237,-8.590321,(021) 4214680,https://www.garda.ie/garda/en/contact-us/station-directory/ballincollig.html,,,,,,,,
Bishopstown,Bishopstown Rd,51.880667,-8.514534,(021) 4624500,https://www.garda.ie/garda/en/contact-us/station-directory/bishopstown.html,,,,,,,,
Blackrock,,51.894335,-8.404310,(021) 4536690,https://www.garda.ie/garda/en/contact-us/station-directory/blackrock-cork.html,,,,,,,,
Blanrney,The Square,51.931964,-8.567658,(021) 4516290,https://www.garda.ie/garda/en/contact-us/station-directory/blarney.html,,,,,,,,
Bridewell,Kyrl's Street,51.900553,-8.477045,(021) 4943330,https://www.garda.ie/garda/en/contact-us/station-directory/bridewell-cork.html,24/7,,,,,,,
Carrigaline,Main Street,51.814833,-8.391535,(021) 4919370,https://www.garda.ie/garda/en/contact-us/station-directory/carrigaline.html,,,,,,,,
Carrignavar,Main Street,51.988915,-8.478209,(021) 4884222,https://www.garda.ie/garda/en/contact-us/station-directory/carrignavar.html,,,,,,,,
Crosshaven,2 Coastguard Cottages Lower Road Crosshaven,51.803976,-8.304453,(021) 4831222,https://www.garda.ie/garda/en/contact-us/station-directory/crosshaven.html,,,,,,,,
Douglas,Maryborough Hill Douglas  Cork,51.875091,-8.430959,(021) 4857670,https://www.garda.ie/garda/en/contact-us/station-directory/douglas.html,,,,,,,,
Glanmire,Glanmire Village,51.918419,-8.396809,(021) 4556370,https://www.garda.ie/garda/en/contact-us/station-directory/glanmire.html,,,,,,,,
Gurranabraher,Baker's Road,51.903493,-8.496622,(021) 4946200,https://www.garda.ie/garda/en/contact-us/station-directory/gurranabraher.html,24/7,,,,,,,
Mayfield,,51.909732,-8.429043,(021) 4558510,https://www.garda.ie/garda/en/contact-us/station-directory/mayfield.html,24/7,,,,,,,
Passage West,,51.865188,-8.331746,(021) 4841001,https://www.garda.ie/garda/en/contact-us/station-directory/passage-west.html,,,,,,,,
