name,where,Address,Eircode,Phone,Email,other,lat,lon,website
Kildare MABS, Newbridge, Henry Street Newbridge, W12 EV81,  0818 07 2600,  kildare@mabs.ie,,53.18102568,-6.800030553,https://mabs.ie/
Carlow MABS, Carlow,72D Tullow Street Carlow, R93 ED82,  0818 07 2070,  carlow@mabs.ie,,52.83700425,-6.924827861,https://mabs.ie/
Cavan MABS, 1st Floor Elm House, Kinnypottle Cavan, H12 A8H7,  0818 07 2410,  cavan@mabs.ie,,53.99648634,-7.358873329,https://mabs.ie/
Clare MABS, Ennis, 7 The Mall Clare Road Ennis, V95 WNP6,  0818 07 2430,  ennis@mabs.ie,,52.83402729,-8.980630192,https://mabs.ie/
Clare MABS, Shannon Office, Unit 4 Shannon Business Centre, V14 K292,  0818 07 2790 ,,,52.70987131,-8.879855614,https://mabs.ie/
Cork MABS (North), Mallow, 25 O'Brien Street Mallow, P51 WF90,  0818 07 2440,  mallow@mabs.ie,,52.13738443,-8.642514115,https://mabs.ie/
Cork MABS (West), Dunmanway, Unit 11 Underhill Commercial Park Dunmanway, P47 XD71,  0818 07 2450,  dunmanway@mabs.ie,,51.71661695,-9.110453015,https://mabs.ie/
Cork MABS, Charleville, Rathgoggin South Charleville, P56 PP93, 0818 07 2420,  charleville@mabs.ie,,52.3494229,-8.677300369,https://mabs.ie/
Cork MABS, Cork City, Ground Floor 101 North Main Street Cork, T12 AKA6,  0818 07 2090,  cork@mabs.ie,,51.90112215,-8.479315892,https://mabs.ie/
Donegal MABS (North), Letterkenny, First Floor Forte Lynne House Letterkenny, F92 R6NF,  0818 07 2460,  letterkenny@mabs.ie,,54.94854404,-7.731461821,https://mabs.ie/
Donegal MABS (South), Donegal town, Donegal Public Services Centre Drumlonagher Donegal, F94 DK6C,  0818 07 2480,  southdonegal@mabs.ie,,54.65982538,-8.087919444,https://mabs.ie/
Donegal MABS (West) / Iarthar Dun na nGall, Derrybeg, Derrybeg, F92 KF82,  0818 07 2650,  iarthar_dhun_na_ngall@mabs.ie,,55.07805875,-8.288249251,https://mabs.ie/
Dublin South MABS, Ballyfermot, Ballyfermot Civic Centre Ballyfermot Rd Drumfinn Dublin 10, D10 T042,  0818 07 2800,  ballyfermot@mabs.ie,,53.34395123,-6.361855983,https://mabs.ie/
Dublin South MABS, Clondalkin, Civic Offices Ninth Lock Road Clondalkin Dublin 22, D22 E9X5,  0818 07 2270,  clondalkin@mabs.ie,,53.32428818,-6.395179268,https://mabs.ie/
Dublin South MABS, Dun Laoghaire, Ground Floor Marina House Clarence Street Dun Laoghaire, A96 V803,  0818 07 2530,  Dun_Laoghaire@mabs.ie,,53.2959855,-6.142763991,https://mabs.ie/
Dublin South MABS, Lombard Street, 26-28 Lombard Street Dublin 2, D02 X898,  0818 07 2520  ,dublin.south.central.mabs@mabs.ie,,53.34527114,-6.249184207,https://mabs.ie/
Dublin South MABS, Tallaght, Hainault House The Square Tallaght Dublin 24, D24 RFV0,  0818 07 2370,  tallaght@mabs.ie,,53.28653589,-6.369048053,https://mabs.ie/
Dundrum MABS, Dublin, 1A Upper Kilmacud Road Dundrum Dublin 14, D14 EY13,  0818 07 2310,  dundrum@mabs.ie,,53.28991114,-6.243252814,https://mabs.ie/
Galway MABS (North), Tuam, Unit 4 Mellows House Barrack Street Tuam, H54 Y677,  0818 07 2560,  tuam@mabs.ie,,53.51207883,-8.854394629,https://mabs.ie/
Galway MABS (South), Galway City, Aran Suite Granary Suites 58 Lower Dominick Street Galway, H91 D296,  0818 07 2570,  galway@mabs.ie,,53.27171217,-9.056571729,https://mabs.ie/
Galway MABS, Loughrea (Sub Office), Piggott Street Loughrea, H62 H721,  0818 07 2580,  loughrea@mabs.ie,,53.19840681,-8.565996268,https://mabs.ie/
Kerry MABS, Killarney, Unit 2 First Floor Park Court Beech Road Killarney, V93 PY6X,  0818 07 7827,  kerry@mabs.ie,,52.05826876,-9.510058569,https://mabs.ie/
Kerry MABS, Tralee, Unit 2 Liber House Monavalley Tralee, V92 E6K1,  0818 07 2190,  kerry@mabs.ie,,52.28074414,-9.702810699,https://mabs.ie/
Kildare MABS, Kilcock, Unit 3 Millennium House Harbour View Kilcock, W23 Y5D1,  0818 07 2590,  kildare@mabs.ie,,53.39932029,-6.666429691,https://mabs.ie/
Kilkenny MABS, Kilkenny, 4 The Parade Gardens Kilkenny, R95 VO52,  0818 07 2610,  kilkenny@mabs.ie,,52.65099984,-7.250917761,https://mabs.ie/
Laois MABS, Laois, Railway Mews Railway Street Portlaoise, R32 K298,  0818 07 2620,  portlaoise@mabs.ie,,53.03510312,-7.299301853,https://mabs.ie/
Leitrim MABS, Leitrim, Swanlinbar Road Ballinamore, N41 E177,  0818 07 2630,  ballinamore@mabs.ie,,54.26279027,-7.699332431,https://mabs.ie/
Limerick MABS,Limerick, Floor 1 Riverstone House 23-27 Henry Street Limerick, V94 3T28,  0818 07 2210,  limerick@mabs.ie,,52.6609676,-8.632043476,https://mabs.ie/
Longford MABS,Longford, Fee Court 1 Church Street Longford, N39 W1X7,  0818 07 2640,  longford@mabs.ie,,53.7314398,-7.800428537,https://mabs.ie/
Louth MABS, Drogheda, 1 Mayoralty Street Drogheda, A92 ADC9,  0818 07 2490,  drogheda@mabs.ie,,53.71541331,-6.347872922,https://mabs.ie/
Louth MABS, Dundalk, 58/59 Anne Street Dundalk, A91 RF97,  0818 07 2540,  dundalk@mabs.ie,,54.0012473,-6.406972813,https://mabs.ie/
Mayo MABS (North), Ballina, Cualgara Teeling Street Ballina, F26 WD35,  0818 07 2660,  ballina@mabs.ie,,54.11508187,-9.159164183,https://mabs.ie/
Mayo MABS (South), Castlebar, Unit 14  Nephin Halls Hopkins Road Castlebar, F23 NF82 , 0818 07 2670,  castlebar@mabs.ie,,53.85480051,-9.303468014,https://mabs.ie/
Meath MABS, Meath, 1st Floor 1B Brews Hill Navan, C15 XR8Y,  0818 07 2680,  meath@mabs.ie,,53.65271287,-6.688508798,https://mabs.ie/
Monaghan MABS, Monaghan, 3rd Floor Bramley House Muckno Street Castleblayney, A75 Y034,  0818 07 2690,  monaghan@mabs.ie,,54.12200899,-6.735755813,https://mabs.ie/
North Dublin MABS, Ballymun Office, Main Street Ballymun Dublin 9, D09 K8W2,  0818 07 2150,  ballymun@mabs.ie,,53.39533286,-6.263759337,https://mabs.ie/
North Dublin MABS, Blanchardstown Office, 7A Church Avenue Blanchardstown Dublin 15, D15 TX40, 0818 07 2330,  blanchardstown@mabs.ie, (access to the office is from Mary Brennan Park)  ,53.38584362,-6.375520191,https://mabs.ie/
North Dublin MABS, Coolock Office, Northside Civic Centre Bunratty Road Coolock Dublin 5, D17 K462,  0818 07 2290,  coolock@mabs.ie,,53.39444868,-6.206870622,https://mabs.ie/
North Dublin MABS, Dorset Street Office, 53 Upper Dorset Street Dublin 1, D01 K5F2,  0818 07 2510,  dorsetstreet@mabs.ie,,53.3570835,-6.264677653,https://mabs.ie/
North Dublin MABS, Finglas Office, 5 Church Street Finglas Dublin 11, D11 XF78,  0818 07 2170,  finglas@mabs.ie,,53.3885258,-6.300282922,https://mabs.ie/
North Dublin MABS, Swords Office (Fingal), Third Floor North Colonnade The Plaza Village Swords, K67 R9X9,  0818 07 2550,  swords@mabs.ie,,53.45748738,-6.220638422,https://mabs.ie/
Offaly MABS, Offalay, Unit 23A The Bridge Centre Tullamore, R35 P923,  0818 07 2710,  offaly@mabs.ie,,53.27490572,-7.493102983,https://mabs.ie/
Roscommon MABS, Roscommon,  Tower Block A Roscommon West Business Park Golf Links Road Roscommon, F42 TD98,  0818 07 2720,  roscommon@mabs.ie,,53.62787546,-8.188858337,https://mabs.ie/
Sligo MABS, Sligo, Carbury House Fish Quay Sligo, F91 F8YY,  0818 07 2730,  sligo@mabs.ie,,54.27353977,-8.475299506,https://mabs.ie/
Tipperary MABS (North), Nenagh, 31 Pearse Street Nenagh, E45 K825,  0818 07 2760,  nenagh@mabs.ie,,52.86503934,-8.197391099,https://mabs.ie/
Tipperary MABS (North), Thurles, Mall House Slievenamon Road Thurles, E41 R6C9,  0818 07 2740,  thurles@mabs.ie,,52.67745163,-7.812322253,https://mabs.ie/
Tipperary MABS (South), Carrick-on-Suir, Nano Nagle Community Resource Centre Clancy House Greenside Carrick-on-Suir, E32 P928,  0818 07 2810,  carrick_on_suir@mabs.ie,,52.34818591,-7.411072407,https://mabs.ie/
Tipperary MABS (South), Clonmel, Anglesea House Anglesea Street Clonmel, E91 H2Y2,  0818 07 2750,  clonmel@mabs.ie,,52.354088,-7.696300653,https://mabs.ie/
Tipperary MABS (South), Tipperary, 13 Davis Street Tipperary Town, E34 DW40,  0818 07 2130,  tipperary@mabs.ie,,52.47539374,-8.162246346,https://mabs.ie/
Tipperary MABS, Cahir outreach office, Enterprise Centre Market Yard Cahir, E21 F895,  052 7443066,  Please phone for an appointment,,52.37562228,-7.923453984,https://mabs.ie/
Waterford MABS, Waterford, 6B Wallace House Maritana Gate Canada Street Waterford, X91 DR60,  0818 07 2050,  waterford@mabs.ie,,52.25806471,-7.10430463,https://mabs.ie/
Waterford MABS (West), Dungarvan, Civic Offices Davitts Quay Dungarvan, X35 Y326,  0818 07 2770,  dungarvan@mabs.ie,,52.09290275,-7.621380638,https://mabs.ie/
Westmeath MABS, Athlone, 1st Floor Arcadia Retail Centre Athlone Co. Westmeath, N37 T0H3,  0818 07 2400,  westmeath@mabs.ie,,53.43350124,-7.939544787,https://mabs.ie/
Westmeath MABS, Mullingar, Mount Street (County Buildings Complex) Mullingar, N91 NV00,  0818 07 2700,  westmeath@mabs.ie,,53.52409329,-7.341206083,https://mabs.ie/
