Service Name, Eircode,Lat,Lon, Address, Town, County, Country, Phone,Link,Other
Comharchumann Forbartha an Leith Triúigh Teo, V92 DK4C,52.25781192,-10.17183244, Halla Le Chéile Baile Uí Dhuibhne, Braoanainn, Kerry, Ireland,667138137,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Lauragh Meals on Wheels, V93 HR98,51.7643606,-9.778710877,Lauragh Community Centre, Lauragh, Kerry, Ireland,087 3405863,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Charleville Meals on Wheels, P56 D857,52.35685805,-8.685103799,Main Street , Charville, Cork, Ireland,087 7691605,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Crosshaven Meals on Wheels, P43 EK76,51.8015799,-8.293230554,Crosshaven , Crosshaven, Cork, Ireland,087 3240445,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Bishopstown Meals on Wheels, T12 XKF2,51.87869114,-8.512250508,Wilton Park House , Bishopstown, Cork, Ireland,021 4543757,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
The Caha Centre FRC, P75 EK72,51.68551553,-9.712926623,Droumlave , Adrigole, Cork, Ireland,087 9144427,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Schull Community Care Meals on Wheels, P81 DP84,51.53593056,-9.565677785,,Schull , Cork, Ireland,086 3159719,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Meals on Wheels Youghal, P36 YE98,51.95460083,-7.860743992,Tír na Nóg Blackwater Heights, Youghal, Cork, Ireland,087 3851764,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Goleen District and Community Council, P81 VX95,51.49884386,-9.718201,Boulysallagh , Goleen, Cork, Ireland,087- 7164242,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Bere Island Project Group, P75 XP38,51.64043863,-9.858334492,Ballynakilla , Bere Island, Cork, Ireland,027 75099,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Millstreet Day Centre, P51 RY10,52.0586558,-9.066940484,Claragh Road , Millstreet, Cork, Ireland,029 70926,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Cluain Dara Day Care Centre, P61 H242,52.13618129,-8.283888646,Cluain Dara Duntaheen, Fermoy, Cork, Ireland,025 33315,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Conna Community Housing, P51 PP30,52.09241881,-8.110398123,Monty's Meadow , Conna, Cork, Ireland,058 59822,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Ballyheigue Community Centre, V92 K227,52.38878661,-9.833239253,Sandyhills Road , Ballyheigue, Kerry, Ireland,066 7133837,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Beara West Family Resource Centre, P75 YX38,51.6513227,-9.911784123,Knockanroe House Bank Place, Castletownbere, Cork, Ireland,027 70998,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
St. Michael's Centre, P72 XN61,51.74508783,-8.739532215,36 South Main Street , Bandon, Cork, Ireland,023 8841681,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
Skibbereen Meals on Wheels, P81 Y046,51.54876985,-9.2645507,Cara House Market Street , Skibbereen, Cork, Ireland,028 22269,https://mealsonwheelsnetwork.ie/directory-meals_on_wheels/?filter_address%5Btext%5D=Current%20Map%20View&filter_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_address%5Bzoom%5D=9&filter=1&filter_location_address%5Btext%5D=Current%20Map%20View&filter_location_address%5Bviewport%5D=51.32326959635218%2C-11.245623958125014%2C52.08916363292999%2C-7.729998958125015&filter_location_address%5Bzoom%5D=9&sort=post_published,
