name,Address,Eircode,,,lat,lon,other
Ballinspittle Health Centre,"Ballycatten Ballinspittle, Co. Cork",P17AF53,158696.8754,45924.80474,51.66479413,-8.59646593,
Ballincollig Health Centre,"Innishmore Ballincollig, Co. Cork",P31D832,157997.8594,70629.63277,51.88685472,-8.609567985,
Ballyclough,"Ballyclough Community Hall Ballyclough, Co. Cork",P51E793,149091.6414,101935.1478,52.16738508,-8.743368631,
Ballydesmond Health Centre,"Ballydesmond, Co. Cork",P51FW66,115139.2034,103847.8978,52.18070208,-9.240271169,
Allihies Health Centre,"Cluin Allihies, Co. Cork",P75EK70,58453.97331,45224.41774,51.64226,-10.0455,
Adrigole Health Centre,"Cappanaparka East Adrigole, Co. Cork",P75YE24,80050.40634,49904.47274,51.68932,-9.73529,
Ballydehob Health Centre ,"The Parade Ballydehob, Co. Cork",P81KF97,98552.07836,35402.57372,51.56282147,-9.462517339,
Asdee Health Centre,"Asdee Community Centre Asdee, Co. Kerry",V31A257,94171.35236,145673.4058,52.5525,-9.56095,
Ballylongford Health Centre,"Rusheen Ballylongford, Co. Kerry",V31VX90,99346.55536,145363.7338,52.55108189,-9.483424338,
Ardfert Health Centre,"Farranwilliam Ardfert, Co. Kerry",V92EKX9,78711.72734,120748.2028,52.3254,-9.77971,
Annascaul Health Centre,"Church Avenue Annascaul, Co. Kerry",V92KA03,59543.82832,101965.1018,52.15215,-10.05287,
Ballyduff Health Centre - Kerry,"Benmore Ballyduff, Co. Kerry",V92WCV5,86722.24235,134777.0628,52.45353787,-9.666024999,
Ballyheigue Health Centre,"Harty's Terrace Ballyheigue, Co. Kerry",V92WY61,75059.77333,128082.0548,52.39084014,-9.834899469,
Abbeydorney Health Centre,"Abbeydorney Parish Community Hall Abbeydorney, Co. Kerry",V92YK5X,84734.01635,122822.3198,52.34533,-9.69213,
Clonakilty,"Primary Care Centre Hospital Grounds Scartagh Clonakilty, Co. Cork",,139366.453,42295.805,51.63048,-8.87638,
Milltown,"Bridge Street Milltown, Co. Kerry",,82700.25,100428.22,52.14374,-9.71419,
Dillons Cross,Harrington Square Ballyhooly Road Cork,,168606.63,72939.482,51.90827,-8.45689,
Rockchapel,"Community Hall Rockchapel, Co. Cork",,121733.609,115744.703,52.28826,-9.1477,
Grattan Street,Grattan Street Cork,,167059.701,71914.714,51.89897,-8.47927,
Blackpool,Blackpool Community Centre Great William O'Brien Street Blackpool Cork,,167405.016,73244.547,51.91094,-8.47438,
Macroom,"Middle Square Macroom, Co. Cork",,133500.89,73144.84,51.90703,-8.96698,
Rylane,"Knocknagoun Rylane, Co. Cork",,142253.234,81576.883,51.98378,-8.84123,
Cois Abhann Residential Centre,"Greencloyne Youghal, Co. Cork",,209694.935,78823.722,51.96195,-7.85969,
Blarney,"The Square Blarney, Co. Cork",,160931.484,75740.664,51.93295,-8.56873,
Gurranebraher,"St. Mary's Orthopaedic Hospital Gurranebraher, Co. Cork",,165820.49,72600.27,51.90505,-8.49734,
Farranree,Farranree Community Centre Popham's Road Farranree Cork,,166971.024,73673.053,51.91476,-8.48072,
Mayfield,Old Youghal Road Cork,,169647.581,73325.74,51.9118,-8.4418,
Riverstown,Riverstown Village Glanmire Cork,,172824.156,75177.875,51.9286,-8.39578,
Cobh,"Bishop's Street Cobh, Co. Cork",,179751.443,66779.209,51.85342,-8.29459,
Ballymacoda,"Ballymacoda Youghal, Co. Cork",,203981.422,71063.203,51.89228,-7.94289,
Youghal,"The Lodge Youghal Community Centre Cork Hill Youghal, Co. Cork",,209715.014,78279.606,51.95706,-7.85941,
Castlemartyr,"Main Street Castlemartyr, Co. Cork",,196256.292,73244.014,51.91188,-8.05513,
Kilmurray,"Kilmurray Macroom, Co. Cork",,139280.19,65892.16,51.84251,-8.88174,
Cobh,"Canon O'Leary Place Cobh, Co. Cork",,179708.021,66694.09,51.85265,-8.29522,
Killbrittain,"Killbrittain, Co. Cork",,152159.97,46941.79,51.67346,-8.69227,
Carrigtwohill,"Main Street Carrigtwohill, Co. Cork",,182343.422,72990.797,51.90933,-8.25729,
Cloyne,"Canon Lynch Place Chapel Street Cloyne, Co. Cork",,191580.813,67759.008,51.86253,-8.12294,
Fairhill,27 Bridevalley View Fairhill Cork,,182343.422,72990.797,51.90933,-8.25729,
Eason's Hill,Eason's Hill Cork,,167305.298,72453.044,51.90382,-8.47575,
The Glen,The Glen Resource and Leisure Centre The Glen Cork,,168538.375,73331.031,51.91178,-8.45792,
Carrignavar,"Carrignavar, Co. Cork",,167206.938,81850.016,51.98826,-8.47808,
Lotamore,20 Lotamore Park Mayfield Cork,,171215.73,73659.503,51.91488,-8.41904,
Baltimore,Baltimore Co. Cork,,104654.055,26451.99,51.48331,-9.37326,
Bere Island,Rerrin Bere Island Co. Cork,,71325.33,44672.51,51.64039,-9.85947,
Tralee,Kerry Community Services Rathass Co. Kerry,,85000.438,114125.898,52.26727,-9.68525,
Drimoleague,East End Drimoleague Co. Cork,,112955.352,46167.375,51.6618,-9.25868,
Drinagh,Drinagh Co. Cork,,119908.27,44347.98,51.64649,-9.1578,
Dunmanway,Main Street Dunmanway Co. Cork,,123339.523,52828.102,51.72316,-9.1101,
Eyeries,Eyeries Co. Cork,,64741.44,50929.45,51.69505,-9.95694,
Glengarriff,Glengarriff Co. Cork,,92980.164,56366.113,51.74998,-9.55038,
Goleen,Church Road Goleen Co. Cork,,81102.8,28219.07,51.49473,-9.71274,
Inchigeela,Inchigeela Co. Cork,,122364.148,66060.961,51.84194,-9.12717,
Johnstown,Johnstown Macroom Co. Cork,,125278.26,62428.91,51.8097,-9.08411,
Kealkil,Kealkil Co. Cork,,104307.266,55989.895,51.74865,-9.38631,
Kilcrohane,Kilcrohane Co. Cork,,81944.07,37798.5,51.58096,-9.70384,
Leap,Main Street Leap Co. Cork,,120993.594,37079.688,51.58133,-9.14049,
Moyderwell,Tralee Health Centre Moyderwell Tralee Co. Kerry,,84018.771,114149.209,52.26727,-9.69964,
Schull,Hospital Grounds Schull Co. Cork,,92746.42,30979.83,51.52186,-9.54599,
Union Hall,Main Street Union Hall Co. Cork,,120900.211,34517.59,51.55829,-9.14126,
Ballynoe,Ballynoe Co. Cork,,193405.188,89584.813,52.0587,-8.09687,
Buttevant,Mercy Day Care Centre Buttevant Co. Cork,,154280.276,108763.929,52.22921,-8.66984,
Castletownroche,Community Hall Castletownroche Co. Cork,,168203.093,102252.601,52.17167,-8.46548,
Newtownbarry,Newtownbarry Charleville Co. Cork,,153787.053,123023.214,52.3573,-8.67902,
FRC Broad Street,Family Resource Centre Broad Street Charleville Co. Cork,,153596.375,122746.461,52.35479,-8.68178,
Dromina,Community Centre Dromina Co. Cork,,145370.672,118293.766,52.31403,-8.80177,
Chapel Hill,Chapel Hill Fermoy Co. Cork,,180856.093,98307.646,52.1368,-8.28032,
Blackwater,Blackwater Day Centre Fermoy Co. Cork,,181016.089,98475.152,52.13831,-8.27799,
Freemount,Community Centre Freemount Co. Cork,,139698.61,114301.38,52.27756,-8.88421,
Glantane,Community Hall Glantane Co. Cork,,148772.08,95002.96,52.10506,-8.74837,
Glanworth,Main Street Glanworth Co. Cork,,175638.83,103857.27,52.18647,-8.35691,
Kanturk,Community Hospital Hospital Hill Kanturk Co. Cork,,137481.406,103036.164,52.17609,-8.91461,
Kildorrery,Limerick Road Kildorrery Co. Cork,,170806.453,110622.625,52.24703,-8.42815,
Killavullen,Dispensary Killavullen Co. Cork,,164618.27,99324.41,52.14514,-8.51757,
Kilworth,Main Street Kilworth Co. Cork,,183304.656,102620.508,52.17564,-8.24477,
Kiskeam,Community Centre Kiskeam Co. Cork,,121044.727,103326.016,52.17659,-9.1549,
Bank Place,134 Bank Place Mallow Co. Cork,,155954.703,98454.172,52.1367,-8.644,
Gouldshill,Gouldshill House Mallow Co. Cork,,154765.359,96530.516,52.11931,-8.66111,
Newberry,Newberry Hospital Kilvealaton East Mallow Co. Cork,,153145.359,97226.313,52.12543,-8.68486,
Norwood,Norwood Day Centre Mallow Co. Cork,,155510.844,98591.125,52.13789,-8.6505,
St. Joseph's,St. Joseph's Road Mallow Co. Cork,,156225.266,98340.969,52.1357,-8.64003,
Comm Hosp,Community Hospital Millstreet Co. Cork,,126113.211,90025.461,52.05778,-9.07794,
Claragh Road,Claragh Road Millstreet Co.Cork,,126833.962,90127.66,52.05879,-9.06745,
Drishane,Drishane Castle Millstreet Co. Cork,,128210.98,92204.31,52.07763,-9.04782,
Wellmount,Wellmount Park Finglas Dublin 11,,312390.283,238543.333,53.38533,-6.31161,
Tearmon Ui Chaoimh,Tearmon Ui Chaoimh Day Centre Mitchelstown Co. Cork,,181444.219,112556.078,52.26487,-8.27251,
Newmarket,Charleville Road Newmarket Co. Cork,,131720.359,107589.024,52.21631,-8.99973,
Newtown,Newtown Co. Cork,,99999.445,49102.363,51.68602,-9.44669,
Church Road,Church Road Ardfert Co. Kerry,,78542,120911.688,52.32683,-9.78226,
Ballybunion,C/o Dr. Jim O' Sullivan Ballybunion Co. Kerry,,86419.57,141340.239,52.51202,-9.6737,
Brosna,The Health Centre Brosna Co. Kerry,,113343.7,118620.66,52.31284,-9.27136,
Caherciveen,East End Caherciveen Co. Kerry,,47410.598,79676.898,51.94878,-10.22006,
Camp,Camp Cross Tralee Co. Kerry,,69423.648,109352.523,52.22092,-9.91145,
Tonachy House,Killarney Rd. Castleisland Co. Kerry,,99881.313,109663.305,52.23009,-9.46604,
Castlemaine,Community Centre Castlemaine Co. Kerry,,83713.516,103611.016,52.17255,-9.70048,
Causeway,Marian Trc. Causeway Co. Kerry,,82111.52,130238.48,52.41139,-9.7332,
Farranfore,Farranfore Co. Kerry,,93992.133,103305.148,52.17187,-9.55021,
Glenbeigh,Kilnabrack Lower Glenbeigh Co. Kerry,,66658.203,90959.367,52.05506,-9.94468,
Gneeveguilla,Gneeveguilla Co. Kerry,,112920.617,96703.055,52.11586,-9.27193,
Kielduff,Community Centre Rathanny Co. Kerry,,90498.16,117134.99,52.29542,-9.60574,
Kilgarven,Kilgarven Co. Kerry,,100787.484,73306.648,51.90362,-9.44222,
Park Road,Park Rd. Killarney Co. Kerry,,98147.097,90844.208,52.0607,-9.48577,
Knocknagoshel,Community Centre Knocknagoshel Co. Kerry,,105640.797,120739.68,52.33061,-9.38487,
Listowel,Grounds of Listowel Hospital Co. Kerry,,98225.711,133981.422,52.44824,-9.49762,
Listowel OPD,Hospital Grounds Listowel Co. Kerry,,98225.711,133981.422,52.44824,-9.49762,
Lixnaw,C/o Dr. Fahys Surgery Lixnaw Co. Kerry,,89980.352,129784.844,52.40895,-9.61746,
Moyvane,Community Centre Moyvane Co. Kerry,,107069.992,139733.188,52.50149,-9.36919,
Portmagee,Portmagee Village Co. Kerry,,37201.05,72985.68,51.8858,-10.36526,
Rathmore,Bleak House Rathmore Co. Kerry,,114335.305,92302.93,52.07655,-9.25018,
Scariff,Emlagh Waterville Co. Kerry,,50416.29,68895.28,51.85277,-10.1717,
Sneem,South Square Sneem Co. Kerry,,69125.172,66719.781,51.83792,-9.89952,
Tarbert,Tarbert Co. Kerry,,106410.367,147820.453,52.57403,-9.38117,
Waterville,Main Street Waterville Co. Kerry,,50326.641,65801.617,51.82496,-10.17166,
