Service name,County,lat,lon,ig_xcord,ig_ycord,Address
Abbeylands Nursing Home & Alzheimer Unit,Cork,52.2433,-8.43062,170635.1378,110208.8374,"Abbeylands Nursing Home & Alzheimer Unit, Carhoo, Kildorrery, Co. Cork, Cork"
Amberley Home and Retirement Cottages,Cork,52.15249,-8.32881,177544.0772,100066.6778,"Amberley Home and Retirement Cottages, Acres, Fermoy, Co. Cork, Cork"
Araglen House Nursing and Convalescent Home,Cork,52.1522,-9.08457,125815.0454,100537.8365,"Araglen House Nursing and Convalescent Home, Loumanagh, Boherbue, Mallow, Co Cork Cork"
Ardsley Nursing Home,Cork,51.87449,-8.719,150531.2796,69327.16382,"Ardsley Nursing Home, Rocky Road, Farran, Co. Cork, Cork"
Ballincollig Community Nursing Unit,Cork,51.88812,-8.58785,159575.964,70762.93167,"Ballincollig Community Nursing Unit, Murphy's Barracks, Ballincollig, Cork, Cork"
Ballincurrig Care Centre Limited,Cork,51.98789,-8.22618,184511.6831,81724.89709,"Ballincurrig Care Centre, Ballincurrig, Leamlara, Co. Cork, Cork"
Bandon Community Hospital,Cork,51.74713,-8.73695,149151.3607,55168.15099,"Bandon Community Hospital, Bandon, Co. Cork, Cork"
Beaumont Residential Care,Cork,51.89011,-8.42382,170870.7827,70905.50105,"Beaumont Residential Care, Woodvale Road, Beaumont, Co. Cork, Cork"
Bishopscourt Residential Care Ltd,Cork,51.87303,-8.52978,163561.4162,69053.31538,"Bishopscourt Residential Care, Liskillea, Waterfall, Co. Cork, Cork"
Blairs Hill Nursing Home,Cork,51.89979,-8.49198,166185.1905,72011.51402,"Blair's Hill Nursing Home, Blair's Hill, Sunday's Well, Cork, Cork"
Blarney Nursing and Retirement Home,Cork,51.94126,-8.59066,159430.3637,76676.35577,"Blarney Nursing Home, Killowen, Blarney, Co. Cork, Cork"
Bridhaven Nursing Home,Cork,52.14506,-8.64332,156009.7923,99384.8752,"Bridhaven Nursing Home, Spa Glen, Mallow, Co. Cork, Cork"
Brookfield Care Centre,Cork,51.97179,-8.2656,181797.0285,79942.80145,"Brookfield Care Centre, Leamlara, Co. Cork, Cork"
Bushmount Nursing Home,Cork,51.6208,-8.8998,137731.4999,41239.24195,"Bushmount Nursing Home, Bushmount, Clonakilty, Co. Cork, Cork"
Cahereen Care Centre,Cork,51.90672,-8.99652,131467.3731,73138.02027,"Cahereen Care Centre, Codrum, Macroom, Co. Cork, Cork"
Cara House,Cork,51.54826,-9.26438,112342.33,33542.247,"Cara House, Market Street, Skibbereen, Co Cork, Cork"
Carechoice Ballynoe,Cork,51.94287,-8.45413,168820.1616,76788.58297,"Carechoice Ballynoe, White's Cross, Co. Cork, Cork"
Carechoice Clonakilty,Cork,51.61809,-8.90529,137347.3625,40941.58338,"Carechoice Clonakilty, Clogheen, Clonakilty, Co. Cork, Cork"
Carechoice Macroom,Cork,51.90746,-8.97601,132880.059,73201.38279,"Carechoice Macroom, Gurteenroe, Macroom, Co. Cork, Cork"
Carechoice Montenotte,Cork,51.90679,-8.4429,169568.1418,72769.03989,"Carechoice Montenotte, Middle Glanmire Road, Montenotte, Cork, Cork"
Castletownbere Community Hospital,Cork,51.65597,-9.91146,67771.90658,46498.3437,"Castsletownbere Community Hospital, Castletownbere, Co. Cork, Cork"
Clonakilty Community Hospital,Cork,51.62378,-8.88525,138743.309,41558.42098,"Clonakilty Community Hospital, Clonakilty, Co. Cork, Cork"
