lat,lon,name,Address,Phone,Text,Website,Email,other,ttt,,,https://www.chime.ie/images/uploads/downloads/Outreach_-_Sheet1.pdf
52.82647966,-6.936462561,Barrow Swifts Multi-Sports Junior Club,Barrow Centre IT Carlow Co. Carlow,,,https://www.iwa.ie/,secretary.barrowswifts@iwasport.com,,,,,https://www.chime.ie/services/outreach-clinics-nationwide
52.82215576,-6.941246888,IWA Carlow,Teach Fáilte Kilkenny Road Carlow R93 K3H4,059 914 0983 ,,https://www.iwa.ie/,carlow@iwa.ie,,,,,
53.96244936,-7.35798803,IWA Cavan,"Unit 1 Block D, Corlurgan Business Park Ballinagh Road Cavan H12W667",049 437 1212 ,,https://www.iwa.ie/,cavan@iwa.ie,,,,,
52.84575093,-8.978473245,IWA Clare,IWA Abbeyfield Centre Francis St. Ennis Co. Clare V95A6RN,065 6844150 ,,https://www.iwa.ie/,ennis@iwa.ie,,,,,
52.84651519,-8.970974748,IWA Ennis Charity Shop,Unit 14 Elevation Business Park Ennis Co. Clare,085 804 8301 ,,https://www.iwa.ie/,ennisshop@iwa.ie,,,,,
51.90679413,-8.438883088,Rebel Wheelers Basketball Club,Cope Foundation Bonnington Montenotte Cork,,,https://www.iwa.ie/,Secretary.RebelWheelers@iwasport.com,,,,,
51.6169201,-8.902764626,IWA Clonakility,Unit 6 Clogheen Industrial Estate Clonakilty Co. Cork P85 W021,023 882 1600,,https://www.iwa.ie/,clonakilty@iwa.ie,,,,,
51.62325945,-8.88934549,IWA Clonakility Charity Shop,10 Pearse Street Clonakilty Co. Cork,085 870 5209  ,,https://www.iwa.ie/,clonakiltyshop@iwa.ie,,,,,
52.25203032,-7.153742448,IWA Cork,Unit 2 Oak House Bessboro Road Blackrock Co Cork X91 W2WH,021 435 0282 ,,https://www.iwa.ie/,cork@iwa.ie,,,,,
52.14111262,-8.641610702,IWA Mallow,"Gilbert Centre Mallow Community Campus Fair Street, Mallow Co Cork P51 AT86",022 70700 ,,https://www.iwa.ie/,mallow@iwa.ie,,,,,
51.5505222,-9.26569699,IWA Skibbereen Charity Shop,19 North Street Skibbereen Co. Cork,085 870 5205 ,,https://www.iwa.ie/,skibbereenshop@iwa.ie,,,,,
55.2980247,-7.263551512,IWA Carrigart,Contact : Carnamogagh Upper Letterkenny Co Donegal,074 9177448  ,,https://www.iwa.ie/,drcmanor@iwa.ie,COMMUNITY CENTRE OUTREACH SERVICE,,,,
54.64918361,-8.114528077,IWA Donegal Town,Contact : Carnamogagh Upper Letterkenny Co Donegal,074 9177448  ,,https://www.iwa.ie/,drcmanor@iwa.ie,,,,,
54.66829182,-8.454008746,IWA Malin,Contact : Carnamogagh Upper Letterkenny Co Donegal,074 9177448  ,,https://www.iwa.ie/,drcmanor@iwa.ie,,,,,
54.97334876,-7.726840507,IWA Letterkenny,Glenview Carnamogagh Upper Letterkenny Co Donegal F92EW99,074 9177448  ,,https://www.iwa.ie/,drcmanor@iwa.ie,,,,,
54.94667108,-7.737678188,IWA Letterkenny Shop,Unit 3 Larkins Retail Park Pearse Road Letterkenny Co. Donegal,085 870 5129 ,,https://www.iwa.ie/,letterkennyshop@iwa.ie,,,,,
55.28287407,-7.822459473,IWA Dobhar-Ionaid Padraic,Contact : Carnamogagh Upper Letterkenny Co Donegal,074 9177448  ,,https://www.iwa.ie/,drcmanor@iwa.ie,,,,,
53.368213,-6.200225145,IWA Clontarf Charity Shop,Áras Chúchulainn Blackheath Drive Clontarf Dublin 3,085 227 8537 ,,https://www.iwa.ie/,info@iwa.ie,,,,,
53.49138762,-6.211284,IWA Balbriggan,Contact : Clontarf Blackheath Drive Clontarf Dublin 3,01 8186400  ,,https://www.iwa.ie/,info@iwa.ie,,,,,
53.368213,-6.200225146,Carmel Fallon Holiday Centre,Blackheath Drive Clontarf Dublin 3,01 818 6458 ,,https://www.iwa.ie/,carmelfallonrespite@iwa.ie,,,,,
